,screen_name,text,is_quote,is_retweet,retweet_text
21,UN_CYPRUS,"The difference between 1.5°C &amp; 3°C global warming means vastly different scenarios for the future. 

Our survival on this planet hinges on these few degrees.

Addressing the climate crisis &amp; limiting temperature rise is possible, if we #ActNow. https://t.co/X0ShwftNUV via @UNFCCC https://t.co/PPr8Uzdqrm",FALSE,TRUE,"The difference between 1.5°C &amp; 3°C global warming means vastly different scenarios for the future. 

Our survival on this planet hinges on these few degrees.

Addressing the climate crisis &amp; limiting temperature rise is possible, if we #ActNow. https://t.co/X0ShwftNUV via @UNFCCC https://t.co/PPr8Uzdqrm"
23,UN_CYPRUS,"Head of DPPA @DicarloRosemary explains why gender parity is an imperative at the United Nations, and how we can all play a part in promoting an enabling environment that is respectful and inclusive. Together, we can #MakeParityaReality. Watch: https://t.co/2vniEIDGOT",FALSE,TRUE,"Head of DPPA @DicarloRosemary explains why gender parity is an imperative at the United Nations, and how we can all play a part in promoting an enabling environment that is respectful and inclusive. Together, we can #MakeParityaReality. Watch: https://t.co/2vniEIDGOT"
24,UN_CYPRUS,"Key outcomes of #COP26 point towards a positive future for #ClimateAction.

Global decisions to phase down coal, increase financial support &amp; commitments by governments, private sector &amp; institutions all point towards positive impacts #ForPeopleForPlanet
https://t.co/8qgynGPWAP https://t.co/LEPNpkcL4O",FALSE,TRUE,"Key outcomes of #COP26 point towards a positive future for #ClimateAction.

Global decisions to phase down coal, increase financial support &amp; commitments by governments, private sector &amp; institutions all point towards positive impacts #ForPeopleForPlanet
https://t.co/8qgynGPWAP https://t.co/LEPNpkcL4O"
49,UN_CYPRUS,"#ICYMI: Tune in to this edition of #UNFICYP's podcast out lout and listen to a conversation with Jurga Didziokaite, from our Civil Affairs section, on the environmental challenges inside the @unitednations #bufferzone in #Cyprus. #A4P #GreeningTheBlue 

🎧 https://t.co/xZmUvetFyZ https://t.co/t0Acg8XIh6",FALSE,FALSE,NA
62,UN_CYPRUS,"In every language &amp; every nation, people are calling for urgent #ClimateAction to address the devastating impacts of the climate crisis.

We must #ActNow to protect our planet: https://t.co/j7cZVZf9ox https://t.co/8h3CALwcFX",FALSE,TRUE,"In every language &amp; every nation, people are calling for urgent #ClimateAction to address the devastating impacts of the climate crisis.

We must #ActNow to protect our planet: https://t.co/j7cZVZf9ox https://t.co/8h3CALwcFX"
72,UN_CYPRUS,"Tune in to this edition of #UNFICYP's podcast out lout and listen to a conversation with Jurga Didziokaite, from our Civil Affairs section, on the environmental challenges inside the @UN #bufferzone in #Cyprus. #A4P #Greeningtheblue 

🎧 https://t.co/kjBSFVD6VH https://t.co/QTUN8VgwQI",FALSE,FALSE,NA
80,UN_CYPRUS,"Environmental protection is everyone's issue.🌍🌳

@UN_CYPRUS peacekeepers join hands with UN Youth Champions for Environment &amp; Peace for a cleanup inside the bufferzone in the eastern part of Cyprus. #ClimateAction https://t.co/svxFqLOF9Y",FALSE,TRUE,"Environmental protection is everyone's issue.🌍🌳

@UN_CYPRUS peacekeepers join hands with UN Youth Champions for Environment &amp; Peace for a cleanup inside the bufferzone in the eastern part of Cyprus. #ClimateAction https://t.co/svxFqLOF9Y"
81,UN_CYPRUS,"#COP26 is an important step, but it's not enough. 

It's time to go into emergency mode. 

𝙏𝙝𝙚 𝙘𝙡𝙞𝙢𝙖𝙩𝙚 𝙗𝙖𝙩𝙩𝙡𝙚 𝙞𝙨 𝙩𝙝𝙚 𝙛𝙞𝙜𝙝𝙩 𝙤𝙛 𝙤𝙪𝙧 𝙡𝙞𝙫𝙚𝙨 𝙖𝙣𝙙 𝙩𝙝𝙖𝙩 𝙛𝙞𝙜𝙝𝙩 𝙢𝙪𝙨𝙩 𝙗𝙚 𝙬𝙤𝙣.

#ClimateAction #ActNow https://t.co/AmvbUzQIzN",FALSE,TRUE,"#COP26 is an important step, but it's not enough. 

It's time to go into emergency mode. 

𝙏𝙝𝙚 𝙘𝙡𝙞𝙢𝙖𝙩𝙚 𝙗𝙖𝙩𝙩𝙡𝙚 𝙞𝙨 𝙩𝙝𝙚 𝙛𝙞𝙜𝙝𝙩 𝙤𝙛 𝙤𝙪𝙧 𝙡𝙞𝙫𝙚𝙨 𝙖𝙣𝙙 𝙩𝙝𝙖𝙩 𝙛𝙞𝙜𝙝𝙩 𝙢𝙪𝙨𝙩 𝙗𝙚 𝙬𝙤𝙣.

#ClimateAction #ActNow https://t.co/AmvbUzQIzN"
86,UN_CYPRUS,"We must end fossil fuel subsidies.
Phase out coal.
Put a price on carbon.
Protect vulnerable communities.
And make good on the $100 billion climate finance commitment to support developing countries. 

We didn't achieve that at #COP26, but we have building blocks for progress.",FALSE,TRUE,"We must end fossil fuel subsidies.
Phase out coal.
Put a price on carbon.
Protect vulnerable communities.
And make good on the $100 billion climate finance commitment to support developing countries. 

We didn't achieve that at #COP26, but we have building blocks for progress."
89,UN_CYPRUS,"#ClimateAction starts with you! Looking for ten simple actions you can take every day?

Be part of the solution &amp; open https://t.co/EJjSJthNd7 to make a difference👉 https://t.co/0qJBYvifEs
#ActNow #ForPeopleForPlanet https://t.co/x38VGsn1dG",FALSE,TRUE,"#ClimateAction starts with you! Looking for ten simple actions you can take every day?

Be part of the solution &amp; open https://t.co/EJjSJthNd7 to make a difference👉 https://t.co/0qJBYvifEs
#ActNow #ForPeopleForPlanet https://t.co/x38VGsn1dG"
